,FECHA,WELL,FRECUENCIA,% THD-VOL IN VSD,% THD-AMP IN VSD,PF IN VSD,% THD-VOL OUT VSD,% THD-AMP OUT VSD,PF OUT VSD,VOL MTR A,VOL MTR B,VOL MTR C,VOL MTR A-Tierra,VOL MTR B-Tierra,VOL MTR C-Tierra,% THD-AMP MTR,PF MTR,MAX VOL IN VSD,MAX AMP IN VSD,MAX VOL OUT VSD,RED KVA,%RED KVA,RED KW,MAX AMP OUT VSD,% LOAD VSD,KVA VSD,KVA SUT,% LOAD SUT,AMP MOTOR,% LOAD MTR,% DESB MTR,VOL-A CON D,AMP-A CON D,VOL-B CON D,AMP-B CON D,VOL-C CON D,AMP-C CON D,%THD VOL CON D,%THD AMP CON D,P.F. CON D,VOL-A CON Y,AMP-A CON Y,VOL-B CON Y,AMP-B CON Y,VOL-C CON Y,AMP-C CON Y,%THD VOL CON Y,%THD AMP CON Y,P.F. CON Y,PIP (psi),T Motor (F),KW-BBL
0,2021-05-11,TRD-04,35.0,7.000000000000001,42.0,0.85,7.6,6.0,0.66,2429.0,2443.0,2390.0,1380.0,1375.0,1383.0,0.0,0.0,483.0,203.0,349.0,169.62477,,144.1810545,385.0,53.32409972299169,232.45145,232.45145,23.245145,46.0,40.70796460176992,1.459854014598535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,186.0,
1,2021-05-13,TRD-04,40.0,6.5,51.3,0.84,54.0,12.0,0.46,2695.0,2697.0,2693.0,1547.0,1560.0,1560.0,0.0,0.0,482.0,247.0,350.0,205.96342,,173.0092728,420.0,58.17174515235457,254.31,254.31,25.431,52.0,46.01769911504424,1.298701298701294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.1,236.3,
2,2021-05-27,TRD-04,35.0,6.5,51.3,0.84,54.0,12.0,0.46,1968.0,1972.0,1964.0,1155.0,1139.0,1122.0,0.0,0.0,476.0,276.0,274.0,227.28048,,190.9156032,516.0,71.46814404432132,244.59432,244.59432,24.459432,65.7,57.63157894736842,3.573305307409352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,229.9,
3,2021-05-28,TRD-04,40.0,6.5,51.3,0.84,54.0,12.0,0.376,2318.0,2315.0,2309.0,1345.0,1342.0,1310.0,0.0,0.0,478.0,264.0,321.0,218.31216,,183.3822144,564.0,78.1163434903047,313.20612,313.20612,31.320612,71.1,62.36842105263158,2.106270943034927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.9,215.3,
4,2021-05-30,TRD-04,40.0,7.000000000000001,19.0,0.862,54.0,10.8,0.69,2314.0,2315.0,2310.0,1350.0,1344.0,1314.0,0.0,0.0,480.0,250.0,407.0,207.6,,178.9512,557.0,77.14681440443213,392.18927,392.18927,39.218927,71.2,62.4561403508772,2.396931927133255,480.0,480.0,479.0,250.0,236.0,240.0,700.0,1900.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.3,240.0,
5,2021-06-01,TRD-04,45.0,7.8,41.4,0.899,54.0,6.0,0.357,2581.0,2578.0,2574.0,1500.0,1505.0,1468.0,0.0,0.0,479.0,321.0,434.0,266.00307,,239.13675993,575.0,79.6398891966759,431.7215,431.7215,43.17214999999999,76.5,67.10526315789474,1.188903566710708,479.0,479.0,478.0,321.0,312.0,300.0,7.8,41.0,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.3,244.3,
6,2021-06-02,TRD-04,50.0,8.4,42.4,0.902,44.7,13.2,0.447,2860.0,2858.0,2853.0,1645.0,1661.0,1622.0,0.0,0.0,480.0,407.0,460.0,337.9728,,304.8514656,629.0,87.1191135734072,500.5582,500.5582,50.05582,84.1,73.7719298245614,2.43605359317905,479.0,479.0,478.0,321.0,312.0,300.0,7.8,41.0,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.2,249.6,
7,2021-06-03,TRD-04,50.0,8.1,40.40000000000001,0.907,46.0,14.1,0.445,2862.0,2858.0,2853.0,1689.0,1680.0,1574.0,0.0,0.0,480.0,411.0,460.0,341.2944,,309.5540208,629.0,87.1191135734072,500.5582,500.5582,50.05582,84.1,73.7719298245614,2.394480519480504,480.0,479.0,479.0,411.0,390.0,383.0,8.1,40.0,0.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.4,249.6,
8,2021-06-04,TRD-04,50.0,7.9,41.0,0.908,44.0,13.9,0.446,2865.0,2862.0,2851.0,1692.0,1680.0,1579.0,0.0,0.0,480.0,412.0,460.0,342.1248,,310.6493184,631.0,87.3961218836565,502.1498,502.1498,50.21498,84.2,73.85964912280703,3.822441430332915,480.0,479.0,479.0,412.0,393.0,385.0,7.9,41.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,250.0,
9,2021-06-04,TRD-04,50.0,7.9,41.0,0.908,44.0,13.9,0.446,2865.0,2862.0,2851.0,1692.0,1680.0,1579.0,0.0,0.0,480.0,412.0,460.0,342.1248,,310.6493184,631.0,87.3961218836565,502.1498,502.1498,50.21498,84.2,73.85964912280703,3.822441430332915,480.0,479.0,479.0,412.0,393.0,385.0,7.9,41.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,250.0,
10,2021-06-05,TRD-04,45.0,7.7,45.0,0.886,53.0,5.1,0.362,2577.0,2572.0,2568.0,1534.0,1518.0,1414.0,0.0,0.0,481.0,320.4,434.0,266.614452,,236.220404472,583.9,80.87257617728531,438.4037979999999,438.4037979999999,43.84037979999999,76.5,67.10526315789474,1.954686805864044,480.0,479.0,479.0,412.0,393.0,385.0,7.9,41.0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.9,243.7,
11,2021-06-06,TRD-04,45.0,7.9,44.0,0.886,10.7,5.1,0.364,2588.0,2582.0,2576.0,1541.0,1524.0,1411.0,0.0,0.0,481.0,319.8,434.0,266.115174,,235.778044164,584.0,80.88642659279779,438.47888,438.47888,43.847888,77.0,67.54385964912281,2.21238938053098,480.0,481.0,481.0,319.8,300.0,300.0,7.9,44.0,0.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,245.2,
12,2021-06-08,TRD-04,45.0,7.6,46.9,0.89,9.4,6.5,0.352,2591.0,2586.0,2581.0,1542.0,1525.0,1413.0,0.0,0.0,479.0,318.0,434.0,263.51706,,234.5301834,575.5,79.70914127423822,432.09691,432.09691,43.209691,76.3,66.9298245614035,1.642984014209593,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.9,244.6,
13,2021-06-09,TRD-04,45.0,7.5,40.2,0.89,9.4,6.5,0.352,2609.0,2605.0,2597.0,1552.0,1536.0,1421.0,0.0,0.0,481.0,321.0,360.0,267.11373,,237.7312197,600.0,83.10249307479224,373.68,373.68,37.368,76.3,66.9298245614035,2.37030411449014,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.7,245.3,
14,2021-06-10,TRD-04,45.0,7.7,41.5,0.89,9.4,6.5,0.352,2612.0,2606.0,2598.0,1552.0,1538.0,1422.0,0.0,0.0,480.0,320.0,359.0,265.728,,236.49792,596.0,82.54847645429363,370.15772,370.15772,37.015772,76.3,66.9298245614035,1.914514692787163,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.8,244.7,
15,2021-06-12,TRD-04,45.0,7.7,41.5,0.89,9.4,6.5,0.352,2613.0,2609.0,2600.0,1538.0,1490.0,1485.0,0.0,0.0,480.0,321.0,360.0,266.5584,,237.236976,600.0,83.10249307479224,373.68,373.68,37.368,76.3,66.9298245614035,1.914514692787163,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.2,245.1,
16,2021-06-13,TRD-04,45.0,7.7,41.5,0.89,9.4,6.5,0.352,2602.0,2600.0,2598.0,1497.0,1512.0,1497.0,0.0,0.0,480.0,322.0,360.0,267.3888,,237.976032,600.0,83.10249307479224,373.68,373.68,37.368,76.3,66.9298245614035,2.096342551293483,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
