C¢digo;DEPARTAMENTO;LATITUD;LONGITUD;ACTIVIDAD
5;ANTIOQUIA;6.702032125;-75.50455704;Act
8;ATLANTICO;10.67700953;-74.96521949;No_act
11;BOGOTA ;4.316107698;-74.1810727;Act
13;BOLIVAR;8.079796863;-74.23514814;No_act
15;BOYACA;5.891672889;-72.62788054;Act
17;CALDAS;5.280139978;-75.27498304;Act
18;CAQUETA;0.798556195;-73.95946756;Act
19;CAUCA;2.396833887;-76.82423283;Act
20;CESAR;9.53665993;-73.51783154;Act
23;CORDOBA;8.358549754;-75.79200872;No_act
25;CUNDINAMARCA;4.771120716;-74.43111092;No_act
27;CHOCO;5.397581542;-76.942811;Act
41;HUILA;2.570143029;-75.58434836;Act
44;LA GUAJIRA;11.47687008;-72.42951072;No_act
47;MAGDALENA;10.24738355;-74.26175733;No_act
50;META;3.345562732;-72.95645988;No_act
52;NARINO;1.571094987;-77.87020496;No_act
54;NORTE DE SANTANDER;8.09513751;-72.88188297;Act
63;QUINDO;4.455241567;-75.68962853;No_act
66;RISARALDA;5.240757239;-76.00244469;No_act
68;SANTANDER;6.693633184;-73.48600894;No_act
70;SUCRE;9.064941448;-75.10981755;Act
73;TOLIMA;4.03477252;-75.2558271;Act
76;VALLE DEL CAUCA;3.569858693;-76.62850427;Act
81;ARAUCA;6.569577215;-70.96732394;Act
85;CASANARE;5.404064237;-71.60188073;No_act
86;PUTUMAYO;0.3673031;-75.51406183;No_act
88;SAN ANDRES PROVIDENCIA Y SANTA CATALINA;12.54311512;-81.71762382;Act
91;AMAZONAS;-1.54622768;-71.50212858;Act
94;GUAINIA;2.727842865;-68.81661272;Act
95;GUAVIARE;1.924531973;-72.12859569;No_act
97;VAUPES;0.64624561;-70.56140566;Act
99;VICHADA;4.713557125;-69.41400011;Act
